word	meaning
abnormal	a.不正常的，反常的；不規則的
abolish	v.廢止,革除,取消
abortion	n.流產,墮胎,失敗,夭折
abrupt	(a.)突然的,唐突的,陡峭的,不連貫的,無禮的
absurd	(a.)荒謬的,不合理的,可笑的
abundant	(a.)大量的,豐富的,充裕的
abuse	n./v.濫用；虐待
accelerate	(vt.)加速,加快,促進(vi.)速度增加
accessible	adj.易接近的, 可到達的, 易受影響的, 可理解的
accommodate	(vt.) 為...提供住所,容納
accommodation	n.住宿
accord	n. 協議；條約；一致；符合 v. 給予（特殊待遇）；授予
accounting	(n.)會計;會計學
acknowledge(ment)	v. n.承認
acquaint	(vt.)使認識,使瞭解
acquisition	n.獲得；習得
activist	n, 激進主義分子, 行動主義者
acute	(a.)敏銳的,激烈的,尖銳的,嚴重的
administration	(n.) 管理；行政（機關）
administrative	adj. 行政的；管理的
administrator	n.行政人員
adolescent	adj./n.青春期的；青少年
adore	(v.)崇拜,崇敬,敬慕,仰慕
adverse	(a.)不利的,敵對的,相反的,逆的
advocate	n. 主張人；擁護人；支持者；提倡者 v.主張；擁護；支持；提倡
affection	n.感情；愛情；影響
agenda	n. 議程；討論主題
aggression	n.侵略
agony	n. 極大的痛苦
agricultural	adj. 農業的；務農的；農用的
aisle	n.走道,通道,走廊
alcoholic	adj. 含酒精的 n. 酗酒者，嗜酒者
alien	(a.)外國的,外來的,異己的,不適的(n.)外星人
allergic	(a.)過敏的,患過敏症的,極討厭的
allergy	n.過敏性反應
alliance	聯盟
allocate	分配；分派
ally	n.盟友,同盟國(vt.)聯盟,聯合,與...有關系(vi.)結盟
alongside	prep./adv.在...旁邊,在...一起
alter	(vt.)改變,更改,修改
alternate	(a.)交互的,輪流的(vt.)(vi.)輪流,(使)交替 n. 替代者
amend	(vt.)修正,改善,改良(vi.)改過自新
ample	(a.)充足的,豐富的
analyst	n. 分析師
anonymous	adj.不具名的
anticipate	(v.期待,預期 = expect = hope for)
antique	n. 古董,古物(a.)舊式的,過時的
applause	n. 鼓掌,喝彩,贊許
appliance	n.家用電器
apt	adj. 適合的、易於...的、有...傾向的
architect	n. 建築師; 設計師; 締造者,創造者
architecture	n. 建築學,建築術;建築物;組織,結構
arena	n.活動場所,競技場所
arouse	(vt.)喚醒,鼓勵,引起
array	n.隊列,陣容,排列;一批,大量;衣服,盛裝
arrogant	(a.)傲慢的,自大的
articulate	a. 清楚表達的、口齒伶俐的 v. 清楚地說
ass	n.驢；蠢人
assault	n. 攻擊,突襲(vt.)襲擊,突襲(vi.)動武
assert	(vt.)主張,硬說,斷言,堅持
assess(ment)	v. n. 估價，估計，評定，核定
asset	n. 資產
assumption	n.假設,推論
astonish(ment)	v. 使驚訝 n.驚訝
athletics	n.運動，體育
attendance	n.出席人數；出席
attic	n.閣樓
attorney	n.律師、法定代理人
attribute	v.歸因於 n.特質
auction	n./v.拍賣,競標
authorize	v. 授權，批准
autonomy	n. 自治，自治權
awe	n. 敬畏(vt.)使敬畏
backyard	n.後院
ballot	(n.) 無記名投票;無記名投票用紙(v.) 投票
ban	n.禁令(vt.)禁止,取締
banner	n. 旗幟, 橫幅, 標語
barren	(a.)不育的,貧瘠的
batch	n. 一批;一群;一爐;一團
behalf	n. 代表 on behalf of
belongings	n.所有物品、隨身財物
beloved	(a.) 摯愛的 (n.) 所愛的人
beneficial	(a.)有益的,有幫助的
betray	v.背叛
beware	(vi.)注意,當心,謹防
bias	n.偏見,斜線(vt.)使有偏見
bid	v.出價競標 n.出價競標的金額
biological	(a.)生物的,生物學上的
