word	meaning
abandon	vt.放棄，中止
abdomen	n.腹；腹部
absolute	a.絕對的；完全的
absorb	vt.吸收；吸引(注意等)；使專注
abstract	a.抽象的 n.摘要，梗概
academic	a.學術的
accent	n.口音，腔調；重音；強調
acceptance	n.接受；歡迎
access	n.接近，進入；通道，入口
access	vt.使用；接近
accidental	a.偶然的；意外的
accompany	vt.陪伴；為...伴奏
accomplish	vt.完成，實現，達到
accomplishment	n.成就；成績[C]
accountant	n.會計師；會計人員
accuracy	n.正確(性)；準確(性)
accuse	vt.指控，控告；譴責
acid	a.酸的，有酸味的 n.【化】酸[C][U]
acquaint	vt.使認識；使熟悉
acquaintance	n.(與人)相識[U]；
acquaintance	n.相識的人，熟人[C]
acquire	vt.取得，獲得；學到
acre	n.英畝
adapt	vt.使適應，使適合；改編，改寫
adequate	a.適當的；足夠的
adjective	n.形容詞 a.形容詞的
adjust	vt.調節；校準；調整
adjustment	n.調節；調整；校正
admirable	a.值得讚揚的；令人欽佩的
admiration	n.欽佩，讚美，羨慕
admission	n.(學校，會場，俱樂部等的)進入許可；入場費[U]；入場券[C]；承認[C]
adverb	n.副詞 a.副詞的
agency	n.代辦處，經銷處
agent	n.代理人；代理商；仲介人
aggressive	a.侵略的，有進取精神的
agreeable	a.令人愉快的，宜人的
AIDS	n.愛滋病
Alcohol	n.酒精；含酒精飲料；酒[U]
alert	a.警覺的；警惕的 n.警戒，警報
alert	vt.使警覺；使注意
allowance	n.零用錢；津貼，補貼 同：pocket money
aluminum	n.鋁[U]
amateur	n.業餘從事者
ambitious	a.有雄心的；野心勃勃的
amid	prep.在...之間；在...之中(amidst)
amuse	vt.使歡樂，逗...高興
amusement	n.樂趣；娛樂，消遣
analysis	n.分析；分解；解析[C][U]
analyze	vt.分析；解析
ancestor	n.祖宗，祖先
anniversary	n.週年紀念日
annoy	vt.惹惱，使生氣
annual	a.一年的；一年一次的
anxiety	n.焦慮，掛念
anxious	a.焦慮的，掛念的
apologize	vi.道歉；認錯
apology	n.道歉；陪罪[(+to/for)]
appliance	n.器具，用具；裝置，設備[C]
applicant	n.申請人[C][(+for)]
application	n.應用，適用；
appoint	vt.任命，指派
appointment	n.約會
appreciation	n.欣賞；賞識；感謝
appropriate	a.適當的，恰當的
approval	n.批准；認可；贊成；同意
arch	n.拱，拱門，牌樓
arise	vi.上升；產生，出現；【舊】起立
arms	n.武器
arouse	vt.喚起；使奮發
articl?	n.冠詞；文章；物品；條文
artificial	a.人工的，人造的；假的
artistic	a.藝術的；美術的
ashamed	a.羞愧的，感到難為情的aspect
aspirin	n.阿斯匹靈(解熱鎮痛藥)
assemble	vt.集合，召集；組合，配裝
assembly	n.集會；集合
assign	vt.分配，分派；指定
assignment	n.(分派的)任務；工作[C];
assistance	n.援助，幫助[U][(+in)]
associate	n.夥伴；同事；合夥人
associate	vt.聯想
association	n.協(公)會；聯想，聯想物
assume	vt.以為；假定為；承擔；就任
assurance	n.保證
assure	vt.向...保證，擔保；
athletic	a. 運動的，體育的
atmosphere	n.大氣層；氣氛
atom	n.原子
atomic	a.原子的
attach	vt.裝上，貼上，繫上[(+to)]
attachment	n.連接；附著[U][(+to)]；
Attraction	n.吸引；吸引力[U]；吸引物[C]
audio	a. 聽覺的，聲音的
authority	n.權力；職權[U]；官方，當局；權威人士;專家
autobiography	] n.自傳
await	vt.等候，期待
awkward	a.笨拙的 [(+with)]；尷尬的
backpack	n.登山、遠足用的背包
bald	a.禿頭的；無草木的
ballet	n.芭蕾舞[C][U]
bankrupt	a.破產的 vt.使破產 n.破產者
bargain	vt.討價還價; n買賣，交易，特價商品
barrier	n.障礙物；路障，柵欄
basin	n.盆；臉盆；盆地
battery	n.電池
beak	n.鳥嘴
beam2	n.笑容，喜色
behavior	n.行為，舉止 [U]
biography	n.傳記[C]
biology	] n.生物學[U]
blade	n.刀身，劍身；刀片
blend	vt.vi.使混和，使混雜；使交融blessing
blink	vi.vt.n.眨眼睛；瞇著眼看[(+at)]
bloom	n.(尤指觀賞的)花；開花(期)[U] vi.開花
blossom	n.(尤指果樹的)花[C];開花(期)[U]
blush	vi.n.(因害羞，尷尬等而)臉紅
boast	vi.n.自吹自擂；誇耀；吹牛
bond	n.結合力；聯結；契約，約定[C]
bounce	vt.vi.n.(球)彈起，彈回；蹦跳
bracelet	n.手鐲；臂鐲
brassiere	n.胸罩 = bra [br?]
breed	vt.vi.(動物)產(子)，孵(卵)；繁殖；養育
bridegroom	n.新郎 (= groom)
broil	vt.vi.n.烤，炙
broke	a.【口】破了產的；一文不名的
brutal	a.殘忍的，冷酷的；野蠻的
bulletin	n.公告；公報
cabinet	n.櫥，櫃[C]；內閣；全體閣員
calculate	vt.vi.計算
calculation	n.計算[U]
calculator	n.計算者(機)
calorie	n.卡，卡路里
campaign	n.戰役；運動，活動
Candidate	n.候選人；候補者；應徵者
Capacity	n.容量，容積；能力，才能
cape	n.披肩；斗篷；岬，海角
capital	n.首都；大寫字母；資本
capitalism	n.資本主義(制度)[U]
capitalist	n.資本家；資本主義者
career	n.(終身的)職業[C]；生涯；歷程[C]
cargo	n.(船、飛機、車輛裝載的)貨物
carrier	n.運送人；送信人；航空母艦
carve	vi.刻，雕刻
catalogue/catalog	n.(圖書，商品的)目錄
cease	n.vt.vi.停止，終止
celebration	n.慶祝[U]；慶祝活動[C]
cement	n.水泥[U]
chamber	n.房間；寢室
championship	n.友誼
characteristic	n.特性，特徵
charity	n.慈悲；慈善[U]；慈善團體[C]
chemistry	n.化學；男女間的來電
cherish	vt.珍愛；珍惜
chirp	vi.n.(小鳥)發啁啾聲；(昆蟲)發唧唧聲
chore	n.家庭雜務；日常零星活兒
chorus	n.合唱隊[C]；合唱[C]；副歌[C]
cigar	n.雪茄
cinema	n.【英】電影院[C]
circula	a.圓形的；環形的
circulate	vt.vi.循環；流通；發行
circulation	n.循環；(貨幣、消息
circumstance	n.情況，環境
civilian	n.(與軍、警相對的)平民，百姓
civilization	n.教化(過程)[U]；
Clarify	vt.vi.澄清；闡明
clash	n.vi.vt.砰地相碰撞；衝突
classification	n.分類；分級
classify	vt.將...分類；將...分等級
cliff	n.(尤指海邊的)懸崖，峭壁
climax	n.頂點，高潮
clumsy	a.笨拙的，手腳不靈活的
coarse	a.粗糙的；粗劣的
code	n.法典，法規；規則；代碼；密碼
collapse	vi.vt.n.倒塌
combination	n.結合(體)；密碼鎖
comedy	n.喜劇
comic1	a.喜劇的 n.喜劇演員
comic(s)2	a.連環漫畫的 n.連環漫畫
commander	n.指揮官，司令官
comment	n.vi.註釋，評註；批評，評論
commerce	n.商業，貿易 [U]
commit	vt.犯(罪)，做(錯事等)
communication	n.溝通；傳達；
community	n.社區[C]；
companion	n.同伴，伴侶
competition	n.競爭，比賽，競賽
competitive	a.競爭的；競爭激烈的
competitor	n.競爭者；對手
complicate	vt.使複雜化
compose	vt.作(詩，曲等)；組成(+of)
composer	n.作曲者，作曲家
composition	n.寫作；作曲[U]；
concentrate	vt.集中；聚集；濃縮
concentration	n.集中；專心；濃縮
concept	n.概念，觀念
concerning	prep.關於...
concrete	a.有形的；具體的 n.混凝土
conductor	n.管理人；指揮；車掌；
conference	n.(正式)會議
Confess	vt.坦白，承認[+v-ing][+(that)
Confidence	n.自信，信心[U]
Confine	vt.限制；使局限[(+to)]
confusion	n.混亂；慌亂；困惑
congratulate	vt.祝賀；恭禧
congress	n.(正式)會議；代表大會；
Conjunction	n.【文】連接詞；結合
conquer	vt.征服；攻克，攻取
conscience	n.良心；道義心
consequence	n.結果，後果[C][
consequent	a.隨之發生的
conservative	a.保守的，守舊的
consist	vi.由..組成[(+of)]；在於... [(+in)]
consistent	a.始終如一的，前後一致的
consonant	n.【語】子音；子音字母[C]
constitute	vt.構成，組成
constitution	n.憲法；章程[C]
construct	vt.建造，構成
construction	n.建造，建設
constructive	a.建設性的；結構上的
consult	vt.與...商量；請教；
consultant	n.顧問
consume	vt.消耗，花費
consumer	n.消費者；消耗者
container	n.容器(如箱、盒、罐等)
content	a.滿足的，滿意的 vt.滿足 n.滿足
content(s)	n.含量；內容
contentment	a.滿足，知足；滿意[U]
contest	n.爭奪，競爭，比賽
context	n.【語】上下文
continual	a.不間斷的，連續的
continuous	a.連續的，不斷的
contrary	n.相反；相反的事物
contrast	n.對比，對照[U] vi.
Contribute	vt.vi.捐(款)；捐獻；投(稿)
contribution	n.貢獻；投稿
convenience	n.方便[U]；便利設施[C]
convention	n.大會；全體與會者[C]；
conventional	a.會議的；慣例的
converse	vi.【書】交談
convey	vt.運送；傳遞[(+from/to)]
convince	vt.使信服；說服[(+of)]
cooperate	vt.合作，協作[(+with/in)]
cooperation	n.合作，協力[U]；
cooperative	a.合作的；合作社的
cope	vi.對付，妥善處理[(+with)]
copper	n.銅[U]
cord	n.細繩，粗線；【解】腱，韌帶
cork	n.軟木[U]；軟木塞[C]
correspond	vi.符合，一致；通信
costume	n.戲裝[U][C]
cottage	n.農舍，小屋
council	n.會議；地方議會[C]
count?r	n.計算者；櫃臺
count?r	a.n.相反(的)；反對(的)
courageous	a.英勇的，勇敢的
courteous	a.殷勤的，謙恭的
courtesy	n.禮貌；殷勤，好意
crack	vi.vt.(使)爆裂，(使)破裂 n.裂縫
craft	n.工藝，手藝；船；飛機；
cram	vt.把...塞進[(+into)]；把...塞滿；
creation	n.創造；創作[U]；創作品[C]
creativity	n.創造力
cripple	n.跛子；殘廢的人 vt.使...殘廢
critic	n.批評家，評論家
critical	a.緊要的，關鍵危急的；
criticism	n.批評；評論
criticize	vt.vi.批評；批判
cruelty	n.殘酷，殘忍[U]
crush	n.vt.vi.壓碎，壓壞；碾碎 n.迷戀
cube	n.立方體；方塊；三次方
cucumber	n.黃瓜，胡瓜[C]
cue	n.【戲】提示；信號 vt.給...暗示
cunning	a.狡猾的，奸詐的
curiosity	n.好奇心[U]
curl	n.卷毛，卷髮[C] vt.vi.捲曲
curse	n.vt.vi.詛咒，咒罵
curve	n.曲線，弧線；【棒】曲球 vi.彎曲
cushion	n.坐墊；靠墊；避震器
damn	vt.罵...該死，咒罵 int.該死
damp	a.有濕氣的；潮濕的
deadline	n.截止期限，最後限期
declare	vt.宣布，宣告；聲明[+(that)]；
Decoration	n.裝飾[U]；裝飾品[C]
decrease	vt. n.減；減少，減小
defeat	vt.n.戰勝，擊敗；失敗，挫敗
defend	vt.防禦;保衛；為...辯護；【體】防守
defense	n.防禦，保衛；辯護；【體】防守
defensible	a.可防禦的；可辯護的
defensive	a.防禦的；保護的；保衛的
definite	a.明確的，確切的
delicate	a.易碎的；嬌貴的；精美的
delight	n.欣喜 [U]；樂事 [C] vt.使...高興
delightful	a.令人愉快的，令人高興的
demand	n.vt.要求，請求[C][(+for)]
demonstrate	vt.(用實驗、實例等)證明；
demonstration	n.(用實驗，實例等)
dense	a.密集的，稠密的
depart	vi.【書】起程，出發；離開，離去
departure	n.離開；出發，起程
dependable	a.可靠的；可信任的
dependent	a.依靠(賴)的；取決於...的
depress	vt.使...沮喪，使...消沉；使...蕭條
depression	n.沮喪，消沉；不景氣，蕭條
deserve	vt.應受，該得 [+to-v]
desperate	a.情急拼命的；極度渴望的
despite	n.惡意；怨恨
destruction	n.破壞；毀滅
detective	n.偵探；私家偵探 a.偵探的
determination	n.堅定；果斷；決心
device	n.設備，儀器，裝置
devise	vt.設計；發明；策劃
devote	vt.將...奉獻(給)[(+to)]
diaper	n.【美】尿布[C]
differ	vi.不同，相異[(+from)]
digest1	vt.消化(食物)；領悟，融會貫通
digest2	n.摘要；文摘[C]
digestion	n.消化；(知識等的)領悟[U]
digital	a.數位的；數字的
dignit	n.尊嚴；莊嚴[U]
diligence	n.勤勉，勤奮
diploma	n.畢業文憑，學位證書
diplomat	n.外交官
disadvantage	n.不利；損害
disaster	n.災害，災難，不幸[C][U]
discipline	n.紀律，風紀；教養[U]
disconnect	vt.使分離，分開
discourage	vt.使洩氣；勸阻
discouragement	n.沮喪，氣餒[U]；
disguise	n.vt.假扮，偽裝
disgust	n.作嘔；厭惡 vt.使作嘔
dismiss	vt.讓...離開；解散；不考慮
disorder	n.混亂，無秩序[U]
dispute	n.vt.vi.爭論；爭執
distinct	] a. 與其他不同的，有區別的
distinguish	vt.vi.區別；識別
distinguished	a.卓越的；著名的
distribute	vt.分發；分配
distribution	n.分發；配給物
district	n.區，行政區；地區，區域
disturb	vt.vi.妨礙，打擾
divine	a.神的，神性的
divorce	n.vt.vi.離婚
dominant	a.佔優勢的，支配的dominate
dormitory	n.學生宿舍(dorm)
download	vt.下載
doze	vi.n.打瞌睡，打盹
draft	n.草稿[C]；【美】徵兵[U]
dread	vt.vi.懼怕；擔心[+to-v][+v-ing][+(that)]
drift	vi.vt.n.漂，漂流
drill	vt.vi.鑽(孔)；在...上鑽孔；操練；訓練
durable	a.經久的，耐用的
dusty	a.滿是灰塵的，灰塵覆蓋的
