word	meaning
abbreviate	縮寫，使省略[（+to）]；縮短，使簡短 使用縮寫詞
abide	（常用於否定句和疑問句）忍受，容忍；頂住 持續；【古】逗留，住[（+at/in）]
aboriginal	最早就有的；土著的；原始的；土著居民的 土著居民；土生動物（或植物）
abound	大量存在[（+in）]；富足[（+in）]
abstraction	抽象；抽象過程[U]；抽象概念；抽象名稱[C]
abundance	豐富；充足[U]；大量，多[S][（+of）]
academy	學院；大學；研究院[C]；科學院；藝術院[C]
accessory	附件，配件；附加物件；婦女飾品；房間陳設[P1] 附加的，附屬的；輔助的；同謀的，幫兇的
acclaim	向......歡呼；為......喝采；稱讚[O9]；（以歡呼聲）宣布；擁立[O9] 歡呼；喝采 歡呼；喝采；稱讚[U]
accordance	一致，和諧；符合；授予；給予
accordingly	照著；相應地；因此；於是
accountable	（對......）有解釋義務的；應負責任的；可說明的
accumulate	累積，積聚；積攢 積成堆；累積，聚積
accumulation	積累；積聚；堆積[U]；累積物；積聚的一堆[C]
accusation	指控，控告；指責[U][C][+（that）]；（被控告的）罪名[U][（+against）]
accustom	（常後接oneself或用被動式）使習慣（於）[（+to）]
acne	【醫】痤瘡；粉刺；面皰；青春痘
acre	英畝；地產；土地[P]
adaptation	適應，適合[U][S1]；改編，改寫；改寫本[U][C]
addiction	沉溺；成癮；上癮；入迷
administer/administrate	管理；掌管；經營；執行，實施
admiral	海軍上將；海軍將官；艦隊司令
adolescence	青春期，青少年時期；（文化等的）發育成形階段
advisory	顧問的，諮詢的；勸告的；忠告的 （尤指美國氣象局發布的）報告；公告[C]
aesthetic	美學的；美的；藝術的 美學；美學標準；審美觀[U]
affectionate	充滿深情的，溫柔親切的[（+to/towards/with）]；【廢】強烈傾向的；任性的[（+to）]
affiliate	使緊密聯繫[H][（+with）]；接納......為成員（或分支機構）；使隸屬於[H][（+to/with）] 發生聯繫，參加[（+to/with）]
affirm	斷言，申明，堅稱[+that]；證實，確認[（+as）] 斷言；【律】（不經宣誓而）提供正式證詞
airtight	密閉的；無懈可擊的
airway	（礦井的）風道，風巷；（肺的）氣道；（麻醉時用的）導氣管
algebra	代數學[U]；代數學課本；代數學論文
alienate	使疏遠；離間[（+from）]；【律】轉讓，讓渡（財產等）
align	把......排列（成一行），排成直線；使結盟；使密切合作
allege	（無充分證據而）斷言，宣稱[?][+（that）]；（作為理由，藉口或論據等）提出[（+as）][+（that）]
alligator	【動】（產於美國及中國的）短吻鱷[C]；短吻鱷皮（革）[U]
altitude	高，高度；海拔[S1]；高處，高地[P1]
aluminum	【美】鋁[U]
ambiguity	可作兩種（或多種）解釋；意義不明確[U]；模稜兩可的話；含糊話[C]
amid/amidst	在......之間；在......之中；被......包圍
amplify	放大（聲音等）；增強；擴大；擴展 發揮，詳述[（+on）]
analogy	相似，類似[C][（+between/to/with）]；比擬；類推，類比[U][S1]
analytical	分析的；善於分析的
anchor	錨；錨狀物；賴以支撐的人（或物），靠山 拋錨使（船）停泊；使固定，繫住 拋錨泊船；固定
animate	賦予生命，使有生命；使活潑，使有活力，使有生氣
annoyance	惱怒；煩惱；打擾[U]；使人煩惱的事；討厭的東西（或人）[C]
anthem	【宗】聖歌；（應答輪唱的）讚美詩；（對母校等的）頌歌；國歌
antibiotic	【生】抗生的；抗菌的 【微】抗生素，抗菌素
anticipation	預期，期望；預料[U][C]；預期的事物[C]
antonym	反義字[C]
applaud	向......鼓掌；向......喝采；稱讚；贊成 鼓掌歡迎；喝采
applicable	可應用的，合用的；可實施的；適當的，合適的[（+to）]
apprentice	學徒，徒弟；見習生 使當學徒 當學徒
approximate	近似的，接近的；大約的，大概的 接近，近似[L]；使接近[（+to）] 接近[（+to）]
archaeology	考古學
archive	檔案館，檔案保管處；資料庫；檔案；文件；記錄 把......存檔；把......收集歸檔
arithmetic	算術，計算[U]；算術知識（或技巧）[U] 算術的；根據算術的[Z]
ascend	登高；上升；追溯（到某個時間）[（+to）] 攀登；登上
aspire	熱望，嚮往；懷有大志[to/after][+to-v]
assassinate	暗殺，對......行刺；詆毀；破壞，糟蹋（名譽等）
asthma	【醫】氣喘（病），哮喘
astray	離開正確的路；迷路；離開正道；不對頭 迷路的；離開正道的；不對頭的
astronaut	太空人，宇航員；太空旅行者
astronomer	天文學家[C]
astronomy	天文學[U]
attain(ment)	達到；獲得；到達
attendant	陪從，隨員；服務員；侍者 侍候的；護理的；伴隨的[（+on/upon）]
audit	審計；查帳；決算 審核；查帳；【美】以旁聽生資格出席；旁聽
auditorium	聽眾席；觀眾席；會堂，禮堂
avert	避開，移開[（+from）]；防止，避免
aviation	航空，飛行；航空學，飛行術
awesome	令人敬畏的；可怕的；有威嚴的；感到敬畏（或畏懼）的
awhile	片刻；少頃
bachelor	單身男子，單身漢；鰥夫；（常大寫）學士
backbone	脊骨，脊柱 [C]；主（山）脈，幹脈
badge	徽章，證章；獎章；紀念章；標誌，標記；象徵 授給......徽章（或獎章等）
banquet	宴會，盛宴；宴請，款待 參加宴會 宴請，設宴款待
barbarian	野蠻人，未開化的人；粗野的人；殘暴的人 野蠻人的，未開化的；粗野的，殘暴的，野蠻的
bass	男低音[U]；男低音歌手[C] （聲音）低沉的；男低音的；（樂器）低音的
batter	連續猛擊，搗毀，打碎；磨損，把......用舊 作連續猛擊[Q][（+at/on/against）]
beautify	使更加美麗；美化 變得美
beep	嗶嗶的聲音；警笛聲 作嗶嗶聲；吹警笛
beforehand	預先，事先；提前地，超前地 預先準備好的；提前的；趕在前面的
beverage	飲料[C]
bilateral	有兩邊的；左右對稱的；雙方的；雙邊的 【律】對等契約
blaze	火焰；火災；熊熊燃燒；強烈的光，光輝 燃燒；閃耀 使燃燒；閃耀出；顯示出
bleach	將......漂白；將......曬得褪色 變白；脫色，變淡 漂白；漂白劑；漂白法
blond/blonde	（人的毛髮）亞麻色的，金黃色的
blot	墨水漬，汙漬[（+on）]；有損整體美的東西[（+on）] 塗汙，弄髒；汙損（名譽）；使蒙恥 弄上墨漬（或汙漬）；吸墨水
blunt	鈍的，不鋒利的；（頭腦，感覺等）遲鈍的 使鈍；使遲鈍；減弱 變鈍；變遲鈍
bodily	肉體的，身體的；物質上的；有形的；有軀體的 親身地；以肉體形式，活生生地；全體地，整體地
booklet	小冊子[C]
bosom	胸；懷；（女人的）乳房[P] 懷抱，擁抱；把......藏在心中 知心的，親密的
boulevard	林蔭大道；【美】大馬路
boxing	做箱（或盒）的材料；裝箱；裝盒
boycott	杯葛；聯合抵制；拒絕參加（或購買等）；一致與......絕交 杯葛；聯合抵制；拒絕參加[C]
brace	支柱；支撐物；大括號[P] 支撐；加固；使繃緊 鼓起勇氣[（+up）]；做好準備[（+for/against）]
breadth	寬度；幅度[C][U]；（布的）幅面；（船）幅[C]
breakdown	（機器等的）故障，損壞；垮臺，崩潰；破裂
breakup	中斷；中止；分離，分散，分裂
bribe	賄賂；行賄物，誘餌[C] 向......行賄；收買[（+with/into）][?] 行賄
brink	（懸崖，江河等的）邊，邊緣[the S][（+of）]；（死亡，危險，戰爭等的）邊緣[the S][（+of）]
broaden	變寬，變闊；擴大 使寬，使闊；使擴大
brochure	小冊子[C]
broil	烤，炙；使受到灼熱；曝曬 被烤（或炙）；受到灼熱；被曝曬 烤炙食品[U]；烤，炙；灼熱[C]
brook	小河，小溪
broth	（用肉、蔬菜等煮成的清淡的）湯[U][C]
brotherhood	兄弟關係；手足之情[U]；同志關係[U]
bulky	體積大的，龐大的；過大的；又大又笨的，笨重的
bureaucrat	官僚；官僚主義者
bypass	旁道，旁路；【機】旁通管 繞過，繞走；加設旁道（旁管）
caffeine	咖啡因，咖啡鹼
calculator	計算者；計算表
calligraphy	書法；筆跡
cape	岬，海角[C]
capsule	小盒，小容器；【藥】膠囊 概要的；濃縮的；微型的 概括，簡述；使濃縮
caption	標題；字幕；照片說明；逮捕 加標題於
captive	俘虜；囚徒；獵獲物；著迷的人；受控制的人 被俘的；受監禁的；受控制的；被迷住的
captivity	囚禁；被俘；束縛
cardboard	硬紙板，卡紙板[U] 硬紙板製的；扁而硬的；不真實的，不自然的；虛構的，沒有深度的，膚淺的
cardinal	重要的，主要的；基本的，根本的 （羅馬天主教的）紅衣主教，樞機主教[C]；深紅色，鮮紅色[U]
carefree	無憂無慮的；輕鬆愉快的
caretaker	照顧者，管理人；【英】看門人；（學校的）工友，雜務工 臨時代理的
carton	紙盒，紙板箱；蠟紙液體容器[C]；一紙盒（或紙板箱等）的量[C][（+of）] 用紙盒（或紙板箱等）裝 製作紙盒（或紙板箱等）
cashier	撤......的職，開除；丟棄
casualty	（軍隊的）傷亡人員[P1]；（事故、災難等的）死者；傷者；受害人[C]
catastrophe	大災，大禍，大災難；大敗，慘敗
cater	提供飲食；承辦宴席[（+for）]；滿足需要（或慾望）；迎合，投合[（+for/to）] 為......提供飲食，承辦（宴會等）的酒席
caterpillar	毛蟲，蠋（蝶、蛾的幼蟲）；履帶牽引車（諸如坦克之類）
cavity	洞，穴，凹處；（身體的）腔
celery	芹菜；（可供食用的）芹菜莖[U]
cellular	細胞組成的；劃分的；多孔的
Celsius	百分度的；攝氏的
cement	水泥；膠結材料；（牙科用來填補空洞的）黏固粉；白堊 用水泥接合[（+together）]；用水泥塗[（+over）] 黏緊，黏牢
census	人口普查；人口調查；（經調查而得的）統計數，記錄 對......進行人口普查；統計......的數目
ceramic	陶器的；製陶藝術的
certify	證明，證實[（+as）][?][O8][+（that）]；擔保；保證 證明；保證[（+to/for）]
chairperson/chair/chairman/chairwoman	議長；主席
champagne	香檳酒；香檳酒色（指淡橙黃色或淺褐黃色）
chant	歌；曲子；詠唱，吟誦 唱；反覆（單調）地唱（或說）；吟誦 唱歌；反覆（單調）地唱歌（或說話）；吟誦
charitable	慈悲為懷的；仁慈的[（+to）]；慈善的；施舍慷慨的
